day,temp,description
Tonight,33,"A chance of snow before 11pm. Cloudy, with a low around 33. Wind chill values as low as 21. Northwest wind around 26 mph, with gusts as high as 45 mph. Chance of precipitation is 50%."
Wednesday,43,"Mostly cloudy, with a high near 43. Wind chill values as low as 20. Northwest wind 25 to 29 mph, with gusts as high as 44 mph."
Wednesday Night,34,"Partly cloudy, with a low around 34. Northwest wind 14 to 24 mph."
Thursday,54,"Mostly sunny, with a high near 54. West wind 9 to 13 mph."
Thursday Night,42,"A slight chance of rain after 2am. Mostly cloudy. Low around 42, with temperatures rising to around 44 overnight. Southwest wind 6 to 10 mph. Chance of precipitation is 20%."
Friday,55,"A chance of rain. Cloudy. High near 55, with temperatures falling to around 52 in the afternoon. Chance of precipitation is 40%."
Friday Night,43,"A chance of rain. Mostly cloudy, with a low around 43. Chance of precipitation is 50%."
Saturday,51,"A chance of rain before 2pm. Partly sunny, with a high near 51. Chance of precipitation is 50%."
Saturday Night,30,"Partly cloudy, with a low around 30."
Sunday,42,"Mostly sunny, with a high near 42."
Sunday Night,30,"Mostly clear, with a low around 30."
Monday,50,"Sunny, with a high near 50."
Monday Night,35,"Partly cloudy, with a low around 35."
Tuesday,52,"Mostly sunny, with a high near 52."
